AllSNP.0.0001	AllSNP.0.001	AllSNP.0.01
background393	0.05486935	0.0855769	0.0721892
background394	0.08600745	0.0817362	0.0740337
background395	0.07100895	0.06920155	0.0690461
background396	0.068354	0.0799723	0.0725461
background397	0.0427734	0.0839735	0.0750494
background398	0.04144555	0.0712833	0.0769321
background399	0.0169922	0.0612875	0.0719247
background400	0.05255285	0.0611081	0.0718289
background401	0.0579264	0.07376255	0.0745124
background402	0.045518	0.07456565	0.0742984
background403	0.072049	0.0570868	0.06608
background404	0.04178115	0.06052955	0.076599
background405	0.07475525	0.0739428	0.0729225
background406	0.06437415	0.0809913	0.072489
background407	0.077654	0.0783622	0.0714286
background408	0.0811382	0.06387585	0.0789921
background409	0.06162405	0.0807536	0.0719666
background410	0.02127475	0.0839148	0.0733599
background411	0.06271585	0.0713639	0.0702878
background412	0.0594834	0.0815063	0.0735662
background413	0.08854425	0.0698831	0.0708557
background414	0.10853905	0.0611418	0.0699078
background415	0.0566168	0.0807251	0.0699849
background416	0.0644563	0.05957815	0.0736701
background417	0.05682245	0.06457325	0.0718548
background418	0.05383095	0.06817325	0.0736842
background419	0.0633456	0.07194575	0.0730328
background420	0.05975425	0.0860085	0.0703736
background421	0.0681156	0.0745918	0.0744361
background422	0.05760945	0.0812242	0.0750365
background423	0.08656775	0.0723391	0.0681744
background424	0.06267815	0.06426615	0.0718548
background425	0.0781574	0.0657484	0.0800831
background426	0.0400413	0.07622665	0.0714359
background427	0.0202066	0.0513592	0.0692268
background428	0.05302045	0.07195085	0.072489
background429	0.1418645	0.0785472	0.0723018
background430	0.07450975	0.07401235	0.074705
background431	0.0742368	0.06964345	0.0693089
background432	0.0237029	0.05656945	0.0709126
background433	0.057394	0.07382335	0.0724777
background434	0.0354801	0.0640438	0.069498
background435	0.0615903	0.0721892	0.0714286
background436	0.0459752	0.07007135	0.0785305
background437	0.06441265	0.0825687	0.0673239
background438	0.0638667	0.07794505	0.0723901
background439	0.06281375	0.0688613	0.0701482
background440	0.049376	0.05530095	0.0701042
background441	0.0700512	0.06982605	0.0742949
background442	0.05984615	0.08139785	0.0747544
background443	0.04265655	0.0710011	0.0768307
background444	0.0296981	0.07087605	0.0741049
background445	0.03445785	0.0614663	0.0689601
background446	0.07692295	0.0658548	0.072489
background447	0.08079495	0.07970775	0.0712403
background448	0.0720697	0.05767265	0.0738981
background449	0.047976	0.0654808	0.0718419
background450	0.0319703	0.07121355	0.0718548
background451	0.059364	0.0763233	0.0738729
background452	0.06881255	0.0785305	0.0730328
background453	0.0588772	0.0719302	0.0730328
background454	0.0659135	0.07281755	0.0742424
background455	0.05175175	0.0704094	0.0705987
background456	0.0649763	0.0571684	0.0730328
background457	0.06566295	0.0829538	0.0670696
background458	0.0552949	0.0641192	0.0718548
background459	0.01314095	0.06395155	0.073251
background460	0.07901315	0.0677753	0.0676305
background461	0.03792855	0.0615468	0.071743
background462	0.0787771	0.06482495	0.0725242
background463	0.0410897	0.0710713	0.0738272
background464	0.04943495	0.0730154	0.0681744
background465	0.08890745	0.06647715	0.0681829
background466	0.0738795	0.070908	0.0710652
background467	0.0725958	0.07127185	0.0714286
background468	0.0566463	0.0672949	0.0736701
background469	0.07661025	0.082101	0.0715527
background470	0.06165175	0.06398155	0.0706848
background471	0.01697125	0.0744363	0.0738378
background472	0.0781445	0.0831671	0.0737498
background473	0.0514911	0.07453085	0.0726494
background474	0.04597105	0.05439825	0.0718548
background475	0.0373161	0.0656068	0.0669435
background476	0.08183005	0.06261945	0.0708695
background477	0.06356605	0.07378715	0.0736701
background478	0.06836965	0.0747262	0.0705056
background479	0.0377263	0.0774704	0.073592
background480	0.05588065	0.06036085	0.0691787
background481	0.0720099	0.07360765	0.0708979
background482	0.0675136	0.0909272	0.0753926
background483	0.02905695	0.06859535	0.0743791
background484	0.03302885	0.0898261	0.0754846
background485	0.0532898	0.0728283	0.0772765
background486	0.06201045	0.0716779	0.0734499
background487	0.0271741	0.0718548	0.0714286
background488	0.06724575	0.07047145	0.06944
background489	0.05914335	0.06671615	0.0738981
background490	0.03290345	0.06852635	0.0735459
background491	0.06808655	0.0674257	0.0702878
background492	0.0434321	0.0661929	0.0735459
background493	0.04932265	0.06300655	0.0713681
background494	0.0823836	0.05272475	0.0740404
background495	0.03658005	0.0874907	0.0712787
background496	0.0737801	0.08383245	0.0718548
background497	0.05733105	0.0815551	0.0702878
background498	0.06460575	0.0645636	0.0658199
background499	0.066101	0.08407625	0.0785305
background500	0.0742678	0.0803474	0.0698672
background501	0.0402908	0.06552615	0.0718548
background502	0.0502041	0.08823465	0.0691717
background503	0.0420198	0.0594287	0.0735948
background504	0.0379797	0.07096095	0.0650345
background505	0.0556359	0.06326295	0.0677648
background506	0.0422391	0.07156235	0.0703103
background507	0.06572005	0.0783945	0.0701422
background508	0.0439741	0.0968995	0.0708557
background509	0.0792907	0.07546955	0.0668133
background510	0.0255195	0.0754786	0.0716712
background511	0.0784173	0.08097515	0.0721649
background512	0.04579735	0.05805085	0.0720942
background513	0.114965	0.0670813	0.0735662
background514	0.0843878	0.07335705	0.0738155
background515	0.0531479	0.0641152	0.0727176
background516	0.0591436	0.07202415	0.0670032
background517	0.07234035	0.05658915	0.0702878
background518	0.05891255	0.0626495	0.0718548
background519	0.0593596	0.0705147	0.0727176
background520	0.0630507	0.0706479	0.0669029
background521	0.0635699	0.08095845	0.0716712
background522	0.0404682	0.0803474	0.0729093
background523	0.0361652	0.08777115	0.072489
background524	0.02435545	0.07850405	0.073497
background525	0.05815415	0.06337475	0.0666192
background526	0.06836215	0.06403245	0.0740073
background527	0.04147235	0.0690726	0.0721892
background528	0.053723	0.07029585	0.0772765
background529	0.0699938	0.08486405	0.0718548
background530	0.0456408	0.07300585	0.0702878
background531	0.03573205	0.07145045	0.0730328
background532	0.07895005	0.07379475	0.0747354
background533	0.0554829	0.0729277	0.0673789
background534	0.0534105	0.08276335	0.0716424
background535	0.07608815	0.06984215	0.0784707
background536	0.05510445	0.08252635	0.0763714
background537	0.0638452	0.0581332	0.0685599
background538	0.07170655	0.0784643	0.0702859
background539	0.0810346	0.06845715	0.0730328
background540	0.02503925	0.07021005	0.0674779
background541	0.04760195	0.07842235	0.0730328
background542	0.05795335	0.0761116	0.0742424
background543	0.0768726	0.07481505	0.072543
background544	0.06647735	0.06805385	0.0763321
background545	0.06589545	0.0710713	0.0718548
background546	0.0268771	0.07967205	0.072489
background547	0.04429235	0.06894255	0.0736701
background548	0.07042415	0.0732405	0.0704236
background549	0.0396754	0.06062515	0.0678542
background550	0.05480485	0.07341085	0.0693965
background551	0.04888855	0.0822216	0.0702878
background552	0.0200202	0.0843606	0.0723653
background553	0.02464845	0.07856055	0.0667885
background554	0.02246545	0.0712354	0.0703736
background555	0.0187429	0.0701739	0.0696991
background556	0.1047128	0.0742087	0.0718548
background557	0.082319	0.06540475	0.0768675
background558	0.07176235	0.0776192	0.0730328
background559	0.0417322	0.0789676	0.0718548
background560	0.0664194	0.0590637	0.0730328
background561	0.02993855	0.0757924	0.0724725
background562	0.0701454	0.0767166	0.070507
background563	0.05148405	0.06874705	0.0732827
background564	0.0379995	0.0731413	0.0718548
background565	0.0633208	0.07335875	0.0740848
background566	0.06845345	0.0787544	0.0772765
background567	0.0252383	0.06636485	0.0735459
background568	0.03143345	0.0763998	0.0679181
background569	0.0780869	0.07167925	0.0718548
background570	0.00985654	0.060531	0.072489
background571	0.0816089	0.0646982	0.0772765
background572	0.0462768	0.05843735	0.0768116
background573	0.04652115	0.07254955	0.0701422
background574	0.0587105	0.0653205	0.0707151
background575	0.0362429	0.06997465	0.0714286
background576	0.02350925	0.08639645	0.0741867
background577	0.0753176	0.0716272	0.0721892
background578	0.05740585	0.0662376	0.0774704
background579	0.1090365	0.07797145	0.0749534
background580	0.115578	0.0744225	0.0702878
background581	0.08099315	0.0739032	0.0727176
background582	0.0418448	0.07307365	0.0716018
background583	0.0556791	0.06548035	0.0693089
background584	0.03540055	0.06192295	0.0710011
background585	0.0278726	0.0675519	0.0702878
background586	0.03534265	0.0683133	0.0708494
background587	0.05564215	0.0709957	0.0745871
background588	0.0663537	0.07943895	0.0737542
background589	0.0969013	0.05976735	0.0708979
background590	0.03544305	0.0765415	0.0738018
background591	0.07881195	0.05700075	0.0726568
background592	0.08355115	0.07690765	0.0702878
background593	0.0448688	0.06927835	0.0785305
background594	0.06059215	0.0872245	0.0714359
background595	0.01887155	0.06954685	0.0718608
background596	0.0379982	0.06495145	0.0704741
background597	0.0565953	0.06485265	0.0718548
background598	0.05882815	0.07328935	0.0749305
background599	0.04337175	0.06561075	0.0752308
background600	0.0832113	0.0689454	0.0721892
background601	0.0726099	0.07500975	0.0736701
background602	0.1500505	0.0700863	0.072489
background603	0.08050335	0.07559485	0.0710652
background604	0.05443365	0.0716603	0.0749294
background605	0.06344795	0.07133145	0.072616
background606	0.0420581	0.06344925	0.0719669
background607	0.04632785	0.0814598	0.0702878
background608	0.0442669	0.064192	0.0695792
background609	0.0438406	0.06516435	0.0738473
background610	0.0384669	0.0710682	0.0765986
background611	0.05975615	0.0608008	0.0689824
background612	0.05005665	0.0896534	0.0727072
background613	0.0246711	0.0630753	0.0725995
background614	0.0200959	0.06671255	0.072489
background615	0.08258085	0.0888117	0.0744301
background616	0.05162835	0.06366475	0.068655
background617	0.0430712	0.05893865	0.0680059
background618	0.07851105	0.06736275	0.0688542
background619	0.0608711	0.0640091	0.0721892
background620	0.05633645	0.0642344	0.0742424
background621	0.03290185	0.0711789	0.0698672
background622	0.0110481	0.08755645	0.0702878
background623	0.0899712	0.0706881	0.0705232
background624	0.03520865	0.0831355	0.0749939
background625	0.0339651	0.07074905	0.0718548
background626	0.0608023	0.0659843	0.072489
background627	0.02925625	0.0710056	0.0702878
background628	0.0543107	0.0604417	0.0713261
background629	0.0398961	0.07402075	0.0713263
background630	0.0497084	0.0557769	0.071729
background631	0.03055675	0.0807679	0.0721892
background632	0.0137551	0.08273555	0.0722831
background633	0.0785336	0.08063335	0.070706
background634	0.03701085	0.0835561	0.0734879
background635	0.03318185	0.0743111	0.0720559
background636	0.08130245	0.0589115	0.0718548
background637	0.04692045	0.07083465	0.0693089
background638	0.02573375	0.08942355	0.0730328
background639	0.03851055	0.06797895	0.0741486
background640	0.0648025	0.06461855	0.0724533
background641	0.07714175	0.0801346	0.0694447
background642	0.07932525	0.0613608	0.0738378
background643	0.08234115	0.0735521	0.0756835
background644	0.03694405	0.08900555	0.0743649
background645	0.0851322	0.08407325	0.0728731
background646	0.0887672	0.0739172	0.0750494
background647	0.0530368	0.06040485	0.0772374
background648	0.05895005	0.0778976	0.0755905
background649	0.03351785	0.0814554	0.0682626
background650	0.08819905	0.07713815	0.0724721
background651	0.05362515	0.06910065	0.0715678
background652	0.0730054	0.0872704	0.0721892
background653	0.0600478	0.0718338	0.0702878
background654	0.06958185	0.0759117	0.0697834
background655	0.0212059	0.07881195	0.0702878
background656	0.054212	0.0717887	0.0702878
background657	0.067925	0.0797898	0.0711689
background658	0.0538281	0.0730328	0.0737816
background659	0.00655901	0.07158045	0.0729295
background660	0.05782975	0.0664852	0.0746875
background661	0.076774	0.08616075	0.0716089
background662	0.0550888	0.06008185	0.0742424
background663	0.053509	0.0664087	0.072489
background664	0.07642225	0.06815515	0.0681829
background665	0.009041275	0.06787575	0.0718548
background666	0.0686787	0.0790675	0.0755635
background667	0.0358641	0.0756242	0.0729604
