AllSNP.0.0001	AllSNP.0.001	AllSNP.0.01
background706	0.145269	0.1126955	0.101085
background707	0.195041	0.113591	0.0938635
background708	0.18693	0.1067865	0.0934376
background709	0.233921	0.1360865	0.10047
background710	0.095738	0.1276315	0.10149
background711	0.1015292	0.09835275	0.100676
background712	0.1426865	0.119424	0.0963529
background713	0.0811391	0.104513	0.096969
background714	0.1835345	0.1105115	0.0981805
background715	0.1239	0.114033	0.0972813
background716	0.1731175	0.103869	0.0968696
background717	0.227708	0.10047	0.0999275
background718	0.0544139	0.09326285	0.0959496
background719	0.222919	0.1352205	0.0995375
background720	0.188877	0.1140045	0.0978785
background721	0.1497675	0.107932	0.101262
background722	0.187815	0.1076915	0.0991656
background723	0.150082	0.118764	0.0956847
background724	0.1446765	0.1097895	0.0966521
background725	0.19385	0.1366605	0.099259
background726	0.161859	0.1294615	0.0923461
background727	0.08604815	0.1267205	0.100251
background728	0.1583995	0.123285	0.0938207
background729	0.2557195	0.1441905	0.0964871
background730	0.203236	0.125377	0.0946857
background731	0.1955135	0.107256	0.103653
background732	0.108073	0.13097	0.0972393
background733	0.09287565	0.1286205	0.10501
background734	0.166881	0.1317575	0.0940181
background735	0.0971963	0.1043825	0.100692
background736	0.0939579	0.1179115	0.0984157
background737	0.186675	0.114436	0.10047
background738	0.111111	0.1256795	0.0941626
background739	0.215741	0.110532	0.0974468
background740	0.1703995	0.1369865	0.102745
background741	0.1859905	0.1166465	0.0951594
background742	0.1869075	0.121907	0.0999275
background743	0.164954	0.1228855	0.10047
background744	0.1361825	0.144684	0.10047
background745	0.140503	0.1298265	0.0970371
background746	0.123387	0.102133	0.105877
background747	0.1115748	0.1185365	0.101097
background748	0.12077575	0.119668	0.10047
background749	0.131133	0.109627	0.0958805
background750	0.1114095	0.1084475	0.101408
background751	0.1357145	0.112544	0.0966462
background752	0.184303	0.1092265	0.10047
background753	0.119789	0.132863	0.0919564
background754	0.178756	0.110338	0.096969
background755	0.123001	0.1287645	0.0943304
background756	0.1156094	0.1054865	0.0975017
background757	0.1512785	0.1190775	0.0974468
background758	0.137334	0.116024	0.099259
background759	0.141322	0.120196	0.092523
background760	0.1690075	0.153888	0.0962511
background761	0.135546	0.111513	0.099259
background762	0.07658215	0.1173075	0.100292
background763	0.175537	0.1322625	0.0972256
background764	0.148268	0.112655	0.095334
background765	0.1392445	0.1146525	0.0992102
background766	0.07085665	0.1327515	0.098726
background767	0.0770169	0.146182	0.0974642
background768	0.211453	0.1068995	0.0977099
background769	0.1392365	0.130572	0.10047
background770	0.1483325	0.1194155	0.0968809
background771	0.1578455	0.1175845	0.0992063
background772	0.0941744	0.126823	0.0984166
background773	0.0899765	0.135114	0.092169
background774	0.1955065	0.11787	0.102748
background775	0.0782678	0.1163975	0.101958
background776	0.1989315	0.1016565	0.101236
background777	0.116396	0.121987	0.100075
background778	0.168474	0.109593	0.10259
background779	0.0545789	0.1211655	0.102748
background780	0.197818	0.1126895	0.099259
background781	0.1471325	0.1299135	0.0945041
background782	0.1262165	0.101797	0.0938207
background783	0.1013784	0.126394	0.102385
background784	0.0954615	0.1226445	0.0990822
background785	0.1424945	0.1174	0.0985518
background786	0.059627	0.143483	0.0936266
background787	0.0772494	0.113157	0.0904079
background788	0.112759	0.1345245	0.0975924
background789	0.1888805	0.1012715	0.0957447
background790	0.12237	0.132054	0.100849
background791	0.198785	0.1046455	0.0928642
background792	0.131688	0.109109	0.095741
background793	0.1287055	0.108601	0.0958805
background794	0.2247475	0.127992	0.0943319
background795	0.2061965	0.1347985	0.0971817
background796	0.149294	0.1099025	0.100606
background797	0.1201395	0.09995545	0.0960672
background798	0.0590321	0.122893	0.0978161
background799	0.03814355	0.1281675	0.0992944
background800	0.2110305	0.121377	0.0964361
background801	0.1737725	0.0948271	0.101176
background802	0.1399615	0.1165315	0.092919
background803	0.1571945	0.142202	0.10259
background804	0.1178885	0.10339	0.0972471
background805	0.11612775	0.1263185	0.103272
background806	0.17408	0.1081755	0.104616
background807	0.173332	0.1215685	0.100637
background808	0.151053	0.1183265	0.098355
background809	0.1355975	0.115576	0.0937707
background810	0.131824	0.09643265	0.0977099
background811	0.0962495	0.112682	0.0977099
background812	0.14753	0.128611	0.0974468
background813	0.176855	0.119776	0.100544
background814	0.1033101	0.110103	0.0974468
background815	0.15453855	0.1417985	0.0903319
background816	0.2091225	0.11976	0.093189
background817	0.2449165	0.1009383	0.0981944
background818	0.179726	0.1215005	0.0973923
background819	0.1870705	0.1163905	0.095334
background820	0.1727355	0.1250745	0.099259
background821	0.1735135	0.111421	0.0930275
background822	0.116484	0.108146	0.0928535
background823	0.1381205	0.124231	0.0923461
background824	0.0808373	0.1110245	0.0977099
background825	0.2039085	0.1103015	0.101724
background826	0.108637	0.118157	0.0938207
background827	0.1374905	0.1142255	0.101455
background828	0.10884655	0.109031	0.100692
background829	0.143324	0.1001952	0.0924182
background830	0.1666025	0.1318385	0.0957327
background831	0.0940523	0.1020165	0.0988643
background832	0.188966	0.112697	0.10047
background833	0.162559	0.134412	0.102258
background834	0.161897	0.1077045	0.0936685
background835	0.101724	0.1100445	0.0993244
background836	0.1792845	0.1136375	0.100059
background837	0.2057645	0.1125705	0.0999275
background838	0.10671045	0.111817	0.10047
background839	0.119017	0.106376	0.0982061
background840	0.2092225	0.1099615	0.0966407
background841	0.1824175	0.127717	0.0938207
background842	0.121282	0.10492	0.0928535
background843	0.169201	0.1402235	0.102922
background844	0.1886115	0.1142405	0.10259
background845	0.215497	0.1295205	0.10047
background846	0.1718295	0.11896	0.10047
background847	0.1602	0.1243785	0.0984831
background848	0.1552465	0.110913	0.095334
background849	0.146588	0.123286	0.0966407
background850	0.181858	0.0895516	0.0935997
background851	0.131069	0.122972	0.105772
background852	0.0969142	0.10050615	0.0938847
background853	0.184915	0.110022	0.0962511
background854	0.1629415	0.150553	0.0931537
background855	0.1359655	0.08993095	0.097376
background856	0.1592255	0.1312145	0.0960702
background857	0.150572	0.1187525	0.100531
background858	0.0965778	0.119676	0.0978161
background859	0.2081115	0.121049	0.0997444
background860	0.1225185	0.124393	0.103192
background861	0.08155	0.1204765	0.0964188
background862	0.1314275	0.1253995	0.102388
background863	0.1340065	0.12958	0.0957971
background864	0.1598785	0.110532	0.0974468
background865	0.2397375	0.1128905	0.0904079
background866	0.188757	0.1220355	0.10259
background867	0.1222945	0.104363	0.0947138
background868	0.0931706	0.105138	0.0905127
background869	0.0931404	0.1229925	0.0978002
background870	0.1967515	0.1337865	0.0970606
background871	0.1291865	0.118217	0.100198
background872	0.195179	0.1102975	0.0943802
background873	0.16057	0.1130165	0.100937
background874	0.1431365	0.1183895	0.10047
background875	0.174457	0.1210215	0.096429
background876	0.124633	0.132378	0.0977099
background877	0.150137	0.1370535	0.10028
background878	0.112387	0.101892	0.0964871
background879	0.1429005	0.1067935	0.0957447
background880	0.107952	0.13352	0.10133
background881	0.04929185	0.1241965	0.0984166
background882	0.1056195	0.1154035	0.0967412
background883	0.1090965	0.1198655	0.0942189
background884	0.170001	0.1286725	0.0990188
background885	0.2088705	0.1054305	0.0943304
background886	0.1518475	0.127111	0.097258
background887	0.1265045	0.113996	0.10047
background888	0.04760045	0.107974	0.104778
background889	0.168202	0.121821	0.0994216
background890	0.1859025	0.113886	0.0982859
background891	0.07637115	0.12146	0.104305
background892	0.138051	0.1249485	0.0957457
background893	0.1600305	0.1035895	0.0996351
background894	0.160574	0.0950898	0.100292
background895	0.1617335	0.118062	0.0957327
background896	0.1715765	0.1240275	0.0990001
background897	0.1703145	0.132667	0.0977099
background898	0.12026	0.1152635	0.10117
background899	0.146695	0.125752	0.102748
background900	0.1420765	0.115545	0.0977735
background901	0.1414945	0.09183745	0.10259
background902	0.1306375	0.123652	0.0993244
background903	0.190165	0.1146225	0.0985518
background904	0.1034335	0.124983	0.0982881
background905	0.0675225	0.1025985	0.0961143
background906	0.188073	0.1011985	0.0944011
background907	0.139102	0.1151505	0.100849
background908	0.137603	0.11555	0.102194
background909	0.0588397	0.112531	0.0904079
background910	0.171307	0.12123	0.099177
background911	0.1464445	0.109056	0.0938207
background912	0.2072695	0.1298015	0.0953723
background913	0.1996525	0.1187575	0.104276
background914	0.161076	0.1181235	0.0938207
background915	0.119346	0.113841	0.100763
background916	0.208923	0.113566	0.0996529
background917	0.205435	0.107238	0.0981853
background918	0.1693445	0.123619	0.0982881
background919	0.1544755	0.1194375	0.101824
background920	0.1134557	0.108297	0.10149
background921	0.1538465	0.1228495	0.0942305
background922	0.2034625	0.124636	0.0921275
background923	0.1893375	0.124032	0.0941075
background924	0.1934015	0.1089035	0.0999696
background925	0.2273145	0.108617	0.0969305
background926	0.1753325	0.097981	0.100747
background927	0.148757	0.128509	0.0928535
background928	0.122409	0.119787	0.099259
background929	0.1274555	0.0983722	0.0940472
background930	0.1442445	0.1122155	0.0993839
background931	0.05453835	0.116157	0.100494
background932	0.12512355	0.1328155	0.100937
background933	0.1571375	0.1170715	0.0960702
background934	0.1879995	0.1180215	0.102041
background935	0.265947	0.1166305	0.0958951
background936	0.197117	0.113741	0.10047
background937	0.10478815	0.1116675	0.0995611
background938	0.1661025	0.109985	0.0984157
background939	0.1885085	0.117973	0.100953
background940	0.130845	0.11874	0.0970606
background941	0.0811665	0.103159	0.100331
background942	0.0773206	0.1174695	0.0977099
background943	0.0754901	0.1117525	0.0950095
background944	0.183053	0.11896	0.098422
background945	0.1165385	0.116364	0.0946857
background946	0.05982485	0.102503	0.100159
background947	0.1567675	0.1019185	0.103048
background948	0.140605	0.1122345	0.0974371
background949	0.158261	0.09216685	0.0977099
background950	0.177428	0.133982	0.0946857
background951	0.2142485	0.107757	0.0975192
background952	0.1123835	0.113715	0.097654
background953	0.140888	0.133009	0.0933028
background954	0.175984	0.113569	0.099259
background955	0.165592	0.1165795	0.0996351
background956	0.12312205	0.097706	0.100372
background957	0.1574345	0.0992992	0.103422
background958	0.163932	0.1005509	0.0983009
background959	0.103876	0.1060415	0.0943093
background960	0.1113365	0.127988	0.0971817
background961	0.1512565	0.1273015	0.0999303
background962	0.112898	0.1020745	0.0948075
background963	0.129371	0.12196	0.0980156
background964	0.1711205	0.1068875	0.0977728
background965	0.1219985	0.134383	0.0974468
background966	0.154125	0.09603985	0.100605
background967	0.1590185	0.1116535	0.0974422
background968	0.135355	0.1116575	0.101158
background969	0.09420165	0.1323815	0.100849
background970	0.1735045	0.128009	0.0939003
background971	0.134917	0.1246065	0.098075
background972	0.123402	0.1212085	0.0984788
background973	0.149704	0.1143055	0.0923783
background974	0.1530715	0.141841	0.0993839
background975	0.159498	0.1008435	0.096121
background976	0.200793	0.0989687	0.0939615
background977	0.05727695	0.1159745	0.0974468
background978	0.145347	0.1126255	0.100625
background979	0.183579	0.1348305	0.101299
background980	0.14564	0.120981	0.10047
background981	0.1402125	0.109874	0.0936685
background982	0.1126585	0.1076145	0.0995544
background983	0.0630894	0.11148	0.0869565
background984	0.126118	0.1010369	0.102041
background985	0.178799	0.109724	0.101953
background986	0.09297875	0.114418	0.098726
background987	0.04625015	0.104648	0.0987976
background988	0.10504655	0.134773	0.101694
background989	0.1201775	0.110277	0.0991387
background990	0.04516285	0.119148	0.0977099
background991	0.1276975	0.121444	0.0994216
background992	0.163867	0.118113	0.0947213
background993	0.07542745	0.106725	0.0954206
background994	0.0767992	0.1336075	0.099177
background995	0.1988185	0.1400535	0.0991086
background996	0.2576235	0.09707195	0.10047
background997	0.1418175	0.1039545	0.0995611
background998	0.173431	0.1395045	0.0958153
background999	0.1271465	0.1123945	0.09934
background1000	0.109655	0.1323685	0.0975593
