relictMORE.0.0001	relictMORE.0.001	relictMORE.0.01	nonrelictMORE.0.0001	nonrelictMORE.0.001	nonrelictMORE.0.01
background128	0.0460099	0.06147355	0.0713261	0.122449	0.1065825	0.105875
background129	0.0942164	0.09693145	0.0652208	0.145135	0.116974	0.1003865
background130	0.143332	0.08491215	0.0661316	0.184773	0.132772	0.102752
background131	0.0868451	0.08691305	0.0682102	0.144087	0.1085055	0.0972107
background132	0.0270923	0.06743445	0.0658331	0.0544419	0.105235	0.1035885
background133	0.123644	0.08891875	0.0614782	0.152067	0.120596	0.0977099
background134	0.020608	0.09833095	0.0721892	0.183999	0.10727	0.10047
background135	0.0466964	0.07578165	0.0679546	0.0935201	0.112084	0.09746385
background136	0.0814504	0.06090235	0.0629304	0.0851644	0.1145105	0.1028445
background137	0.0115742	0.0887836	0.0621029	0.16322	0.1043905	0.1027865
background138	0.0751524	0.08310785	0.0598512	0.188809	0.1135425	0.0947291
background139	0.140036	0.08576935	0.0628223	0.133316	0.1083945	0.105851
background140	0.00933567	0.0892403	0.0610315	0.12575	0.112516	0.104092
background141	0.0633084	0.1068275	0.0697881	0.145986	0.128063	0.102061
background142	0.183673	0.09274405	0.0640756	0.226479	0.1230415	0.1042435
background143	0.0213347	0.0605627	0.0635234	0.140737	0.1225745	0.09769795
background144	0.0210253	0.07683075	0.0647546	0.118298	0.1102345	0.0977099
background145	0.0395339	0.0695594	0.0685306	0.129864	0.1305135	0.09026365
background146	0.0743397	0.08716275	0.0670696	0.120596	0.105749	0.1008975
background147	0.0749306	0.1071575	0.0616075	0.118157	0.1281385	0.099259
background148	-0.000316979	0.09070895	0.0649459	0.163859	0.09559935	0.102316
background149	0.15716	0.07287255	0.0718548	0.109468	0.110728	0.09433585
background150	0.000963612	0.06650215	0.0718548	0.111278	0.1162075	0.09209655
background151	0.0718548	0.0603944	0.065297	0.149398	0.1338595	0.0990014
background152	0.13537	0.08233615	0.059059	0.109952	0.105025	0.102177
background153	0.13314	0.122762	0.0736701	0.15598	0.111321	0.1006265
background154	0.015137	0.07103135	0.0685092	0.177943	0.123134	0.1061965
background155	0.0103556	0.07427725	0.0614564	0.137843	0.0768883	0.100289
background156	0.092523	0.0913977	0.0633084	0.15524	0.1105995	0.1092235
background157	0.153442	0.100656	0.0626357	0.171797	0.1184105	0.106314
background158	0.137843	0.0686885	0.0666667	0.136827	0.1049905	0.1035805
background159	1.11026e-16	0.09827535	0.0588788	0.0726254	0.0976556	0.1003865
background160	0.078891	0.1073715	0.0644234	0.0958462	0.09913095	0.09984295
background161	0.0604548	0.0971616	0.067499	0.185781	0.08652535	0.100826
background162	0.16935	0.0643811	0.0677522	0.175462	0.111499	0.1040015
background163	0.107309	0.07685395	0.0649597	0.139169	0.1142595	0.10047
background164	0.0214544	0.1020335	0.0666419	0.140726	0.0851476	0.100886
background165	0.106945	0.09702245	0.0662112	0.164516	0.107752	0.0977099
background166	0.102922	0.06151225	0.0673727	0.141687	0.119348	0.1022725
background167	0.0584951	0.0536305	0.057957	0.0981471	0.1309905	0.100421
background168	0.00407552	0.0986698	0.0652792	0.104726	0.1172225	0.09243455
background169	0.171844	0.08381555	0.0550982	0.0641593	0.115506	0.10047
background170	-7.84895e-17	0.0739783	0.0701486	0.208883	0.1116825	0.0962999
background171	-0.00010102	0.09695815	0.0692885	0.145637	0.1093345	0.104854
background172	-0.0076321	0.0919809	0.0681744	0.215415	0.09541995	0.103876
background173	0.0164971	0.0910221	0.0681829	0.146365	0.1280295	0.1034325
background174	-0.0055152	0.0713607	0.0702878	0.10047	0.10035075	0.0994595
background175	0.0103556	0.1174665	0.0652574	0.15524	0.0958663	0.0988598
background176	0.0943304	0.0343159	0.0587212	0.147044	0.09454725	0.0999581
background177	0.148839	0.0641042	0.0588137	0.0904079	0.110642	0.1052315
background178	-0.00236643	0.0669707	0.0655969	0.109224	0.130572	0.0973851
background179	0.12764	0.0769782	0.065746	0.10302	0.1011565	0.106406
background180	0.0421823	0.0930657	0.0701633	0.186242	0.1012572	0.104588
background181	-0.00147342	0.0747983	0.062332	0.129649	0.1150865	0.101778
