relictMORE.0.0001	relictMORE.0.001	relictMORE.0.01	nonrelictMORE.0.0001	nonrelictMORE.0.001	nonrelictMORE.0.01
background160	0.10841535	0.1336025	0.105986	0.0867829	0.0733335	0.0682353
background161	0.148968	0.125621	0.110928	0.321507	0.07688465	0.0674532
background162	0.1066465	0.1168345	0.106224	0.270422	0.06318105	0.0735459
background163	0.159579	0.1218665	0.099651	0.000590798	0.08002895	0.0655409
background164	0.10944	0.121401	0.101167	0.013826	0.0933371	0.0755354
background165	0.1668365	0.1113355	0.10259	0.0372	0.09371445	0.0772765
background166	0.1075285	0.09972955	0.100991	0.0320187	0.06062605	0.0727958
background167	0.125719	0.1085525	0.105359	0.269028	0.06361825	0.069794
background168	0.112269	0.136992	0.102631	0.104893	0.0633734	0.0760369
background169	0.121027	0.1215925	0.102416	0.0171496	0.08036135	0.0724725
background170	0.1113155	0.1057195	0.111367	0.110526	0.06334355	0.0718548
background171	0.143836	0.1149095	0.101466	0.13542	0.0834278	0.0730328
background172	0.1254875	0.0983269	0.0993839	0.0795952	0.07506675	0.0718548
background173	0.144901	0.132346	0.104366	0.28005	0.0626989	0.078429
background174	0.133924	0.125222	0.102041	0.335731	0.06409835	0.0648614
background175	0.11280925	0.1018775	0.104664	0.0966909	0.0755887	0.0754882
background176	0.08364865	0.130734	0.100953	0.000362812	0.07588715	0.0689381
background177	0.136089	0.0998265	0.104907	0.0185006	0.09295865	0.068491
background178	0.122171	0.1252465	0.104588	0.020005	0.0736376	0.0702878
background179	0.1377775	0.1203845	0.104396	0.198493	0.0674324	0.0772015
background180	0.165109	0.1070395	0.105875	0.0798179	0.08513265	0.0699724
background181	0.1359045	0.087491	0.110532	0.161549	0.0795708	0.0745124
background182	0.1315755	0.1080785	0.102041	0.162689	0.05076545	0.0655448
background183	0.131781	0.1216515	0.104553	0.0691434	0.0821318	0.0730856
background184	0.126388	0.113635	0.104211	0.200394	0.0613264	0.0748827
background185	0.1626095	0.1348245	0.103976	0.206599	0.0456577	0.0659759
background186	0.195482	0.106544	0.104042	0.22314	0.0675366	0.0684522
background187	0.1300915	0.113491	0.104211	0.0442713	0.0754084	0.0710652
background188	0.1020045	0.128617	0.100978	0.0398251	0.0705073	0.0684233
background189	0.1407775	0.1013125	0.109936	0.0380734	0.07482535	0.0736701
background190	0.1727095	0.1200835	0.0978998	0.0688711	0.0576834	0.073592
background191	0.1464225	0.1106475	0.10047	0.0174821	0.05946985	0.0703655
background192	0.142881	0.142938	0.104211	0.225303	0.06393355	0.0651025
background193	0.12258	0.10736	0.103642	0.221192	0.09273985	0.0752455
background194	0.123231	0.116591	0.0983627	0.161603	0.0843153	0.0698735
background195	0.159437	0.142141	0.107932	6.04307e-17	0.0855342	0.067756
background196	0.1185755	0.1071815	0.0990822	0.0998691	0.07465515	0.0730328
background197	0.1662445	0.1166255	0.100601	0.0826843	0.0567032	0.0666667
background198	0.104043	0.11794	0.105554	-0.000410522	0.09407675	0.0719855
background199	0.121617	0.126282	0.108305	0.296308	0.06580755	0.0688281
background200	0.08281685	0.1174745	0.10259	0.018007	0.04180435	0.0653501
background201	0.1661225	0.1197435	0.107146	0.00492512	0.0784288	0.0702878
